entity,coupled,degree,average-revs,structurally_coupled,direction
crates/project-model/test_data/output/cargo_hello_world_project_model.txt,crates/project-model/test_data/output/cargo_hello_world_project_model_with_wildcard_overrides.txt,100,17,No,None
crates/project-model/test_data/output/cargo_hello_world_project_model.txt,crates/project-model/test_data/output/cargo_hello_world_project_model_with_selective_overrides.txt,100,17,No,None
crates/project-model/test_data/output/cargo_hello_world_project_model_with_selective_overrides.txt,crates/project-model/test_data/output/cargo_hello_world_project_model_with_wildcard_overrides.txt,100,17,No,None
tests/data/lexer/0011_keywords.rs,tests/data/lexer/0011_keywords.txt,100,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,100,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,100,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,100,13,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2021.html,crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2024.html,100,6,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2015.html,crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2018.html,100,6,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2018.html,crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2024.html,100,6,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2015.html,crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2024.html,100,6,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2015.html,crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2021.html,100,6,No,None
crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2018.html,crates/ide/src/syntax_highlighting/test_data/highlight_keywords_2021.html,100,6,No,None
crates/ra_ide_api/src/completion/snapshots/completion_item__filter_postfix_completion1.snap,crates/ra_ide_api/src/completion/snapshots/completion_item__filter_postfix_completion2.snap,100,5,No,None
crates/ra_ide_api/src/completion/snapshots/completion_item__bindings_from_if_let.snap,crates/ra_ide_api/src/completion/snapshots/completion_item__bindings_from_let.snap,100,5,No,None
crates/project-model/test_data/deduplication_crate_graph_A.json,crates/project-model/test_data/deduplication_crate_graph_B.json,100,5,No,None
crates/ra_ide_api/src/completion/complete_record_literal.rs,crates/ra_ide_api/src/completion/complete_record_pattern.rs,100,5,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_info.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,96,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,96,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_unused_variable_as_hint.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,96,14,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,94,9,No,None
crates/rust-analyzer/src/diagnostics/test_data/rustc_mismatched_type.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_wrong_number_of_parameters.txt,94,9,No,None
crates/completion/src/render/const_.rs,crates/completion/src/render/type_alias.rs,94,9,No,None
grammar.ron,src/syntax_kinds.rs,92,49,No,None
crates/ra_hir/src/nameres/crate_def_map.rs,crates/ra_hir/src/nameres/crate_def_map/collector.rs,92,7,No,None
crates/ra_hir_def/src/impls.rs,crates/ra_hir_def/src/traits.rs,92,7,No,None
crates/ra_syntax/src/validation/byte_string.rs,crates/ra_syntax/src/validation/string.rs,90,11,No,None
crates/rust-analyzer/src/diagnostics/test_data/handles_macro_location.txt,crates/rust-analyzer/src/diagnostics/test_data/rustc_incompatible_type_for_trait.txt,90,10,No,None
crates/ra_assists/src/add_derive.rs,crates/ra_assists/src/change_visibility.rs,90,6,No,None
crates/ra_ide_api/src/completion/snapshots/completion_item__filter_postfix_completion2.snap,crates/ra_ide_api/src/completion/snapshots/completion_item__filter_postfix_completion3.snap,90,6,No,None
crates/ra_ide_api/src/completion/snapshots/completion_item__struct_field_completion_autoderef.snap,crates/ra_ide_api/src/completion/snapshots/completion_item__struct_field_completion_self.snap,90,6,No,None
